iter	RMSE
0	48.88540597
1	48.17751188
2	47.48898137
3	46.95496061
4	46.30262302
5	45.52595798
6	44.9781068
7	44.22907775
8	43.69882465
9	43.09979701
10	42.43305105
11	42.00615197
12	41.3569811
13	40.8118423
14	40.24699504
15	39.83411812
16	39.38097293
17	38.86925303
18	38.36303313
19	37.74905973
20	37.25356652
21	36.71277558
22	36.16994677
23	35.79700949
24	35.38669086
25	35.00139229
26	34.50894527
27	34.12430403
28	33.69709798
29	33.26102097
30	32.89724414
31	32.58931134
32	32.15773633
33	31.95825704
34	31.62046343
35	31.32481937
36	30.80976194
37	30.48908587
38	30.21607606
39	29.86521952
40	29.57055913
41	29.22176811
42	28.84606984
43	28.4752385
44	28.15492054
45	27.88896155
46	27.55944643
47	27.24988701
48	26.96397019
49	26.68558608
50	26.37229531
51	26.05701978
52	25.85730993
53	25.6019848
54	25.2455887
55	24.96525445
56	24.72564148
57	24.45495403
58	24.17476336
59	23.97963786
60	23.69817374
61	23.47513324
62	23.19866372
63	22.98803208
64	22.81349701
65	22.59829026
66	22.33335447
67	22.05347379
68	21.79486911
69	21.63186453
70	21.40668479
71	21.26339166
72	21.01111352
73	20.78416769
74	20.59120652
75	20.38068705
76	20.17820033
77	19.89455268
78	19.77003347
79	19.57581058
80	19.39391308
81	19.18447289
82	19.03221412
83	18.84208549
84	18.66428673
85	18.42827231
86	18.2490683
87	18.07794141
88	17.91642626
89	17.76803471
90	17.58694032
91	17.43132628
92	17.29130081
93	17.17172563
94	17.01476142
95	16.89356771
96	16.76741948
97	16.62365737
98	16.46743694
99	16.27268468
100	16.10090714
101	15.93388841
102	15.79800768
103	15.6469416
104	15.5201057
105	15.38608459
106	15.24508021
107	15.13003008
108	15.0022522
109	14.87219648
110	14.74978962
111	14.637226
112	14.53484116
113	14.38264527
114	14.27278429
115	14.1595132
116	14.03997853
117	13.92684604
118	13.82401172
119	13.71169906
120	13.61510529
121	13.51664806
122	13.41301433
123	13.31938055
124	13.23011004
125	13.08462514
126	13.00001691
127	12.89640649
128	12.80625872
129	12.71904925
130	12.55370273
131	12.46859445
132	12.376191
133	12.28451122
134	12.19957837
135	12.09305231
136	12.01150636
137	11.90697489
138	11.77504757
139	11.70292966
140	11.62225392
141	11.54313302
142	11.46198674
143	11.38555513
144	11.31048371
145	11.23664607
146	11.10418516
147	10.98101726
148	10.84784602
149	10.77894272
150	10.65174146
151	10.58294571
152	10.51841839
153	10.45406647
154	10.38379947
155	10.30298377
156	10.23016503
157	10.1702847
158	10.11320283
159	10.05119006
160	9.992738518
161	9.935580142
162	9.865565374
163	9.750302177
164	9.684841567
165	9.560127226
166	9.506525953
167	9.445372617
168	9.339167939
169	9.288188352
170	9.235650845
171	9.183012295
172	9.131657489
173	9.086355486
174	8.982016881
175	8.870045325
176	8.744068875
177	8.673969658
178	8.553271422
179	8.471093637
180	8.38069
181	8.267584205
182	8.201907923
183	8.093595427
184	7.989022413
185	7.926469396
186	7.824110576
187	7.756524746
188	7.709102782
189	7.623406244
190	7.552621924
191	7.464704472
192	7.38309683
193	7.303383989
194	7.211056431
195	7.1677053
196	7.091358653
197	7.023819974
198	6.961222696
199	6.896354826
200	6.810619467
201	6.757672457
202	6.681910793
203	6.609394218
204	6.548132553
205	6.481551738
206	6.438706362
207	6.374330718
208	6.320633497
209	6.258552488
210	6.193625896
211	6.161192996
212	6.101646977
213	6.070440477
214	6.024902212
215	5.962823681
216	5.902625476
217	5.846911581
218	5.817732682
219	5.752818521
220	5.687528888
221	5.631817937
222	5.569752715
223	5.509874948
224	5.457645434
225	5.400733054
226	5.350543956
227	5.312883918
228	5.259223549
229	5.204984478
230	5.179817683
231	5.155242182
232	5.10440449
233	5.059028036
234	5.013466045
235	4.990236823
236	4.942160225
237	4.913238571
238	4.869455834
239	4.812679323
240	4.771877071
241	4.730404247
242	4.674230519
243	4.63947412
244	4.605757303
245	4.557289819
246	4.527707633
247	4.507322674
248	4.465966361
249	4.446185213
250	4.423986272
251	4.378478198
252	4.344532172
253	4.313892985
254	4.252775511
255	4.193764526
256	4.158302819
257	4.125121097
258	4.105624106
259	4.049711979
260	4.020634695
261	3.989125204
262	3.935790385
263	3.903897524
264	3.855718254
265	3.823966409
266	3.806103864
267	3.765390208
268	3.739086414
269	3.696944791
270	3.669136457
271	3.644508908
272	3.627290009
273	3.590517836
274	3.574045822
275	3.526915983
276	3.498776537
277	3.482067661
278	3.449507924
279	3.416253924
280	3.389277521
281	3.358349259
282	3.324727137
283	3.302619502
284	3.267561115
285	3.255932507
286	3.244580367
287	3.220048765
288	3.186826354
289	3.155678826
290	3.125747558
291	3.109620366
292	3.08519503
293	3.072511761
294	3.048768212
295	3.039529245
296	3.024488378
297	2.991109423
298	2.964377905
299	2.917006428
