iter	Passed	Remaining
0	5	5901
1	9	4675
2	12	4320
3	16	4131
4	20	4046
5	23	3896
6	26	3751
7	29	3652
8	32	3571
9	35	3551
10	39	3558
11	42	3505
12	46	3496
13	49	3496
14	53	3506
15	58	3590
16	62	3586
17	65	3561
18	68	3540
19	71	3509
20	74	3477
21	78	3491
22	81	3471
23	84	3450
24	87	3427
25	91	3429
26	95	3425
27	98	3416
28	101	3411
29	105	3403
30	109	3420
31	112	3415
32	116	3403
33	119	3393
34	122	3387
35	126	3399
36	130	3408
37	134	3404
38	138	3400
39	141	3389
40	144	3379
41	147	3369
42	151	3362
43	154	3355
44	157	3348
45	160	3335
46	163	3322
47	166	3308
48	169	3295
49	172	3285
50	175	3273
51	178	3258
52	181	3251
53	184	3240
54	187	3229
55	190	3219
56	193	3209
57	196	3196
58	199	3184
59	203	3188
60	206	3182
61	209	3176
62	213	3168
63	216	3161
64	219	3157
65	222	3153
66	225	3145
67	228	3137
68	232	3132
69	235	3128
70	238	3121
71	242	3121
72	245	3113
73	248	3104
74	250	3093
75	254	3093
76	257	3086
77	260	3084
78	264	3080
79	268	3085
80	271	3077
81	275	3079
82	278	3072
83	281	3065
84	284	3067
85	287	3060
86	291	3055
87	294	3049
88	297	3040
89	300	3039
90	303	3032
91	306	3028
92	309	3020
93	312	3013
94	315	3004
95	318	2996
96	321	2988
97	323	2982
98	326	2975
99	329	2967
100	333	2965
101	336	2959
102	339	2953
103	342	2947
104	345	2944
105	348	2938
106	351	2930
107	354	2926
108	356	2918
109	360	2915
110	363	2911
111	366	2906
112	369	2901
113	372	2896
114	375	2891
115	378	2886
116	381	2882
117	385	2878
118	388	2872
119	390	2867
120	393	2861
121	396	2855
122	400	2853
123	403	2848
124	406	2842
125	409	2837
126	412	2832
127	414	2826
128	418	2822
129	421	2820
130	424	2816
131	427	2810
132	430	2805
133	433	2802
134	436	2797
135	439	2792
136	442	2786
137	445	2781
138	448	2777
139	451	2772
140	454	2767
141	457	2761
142	459	2755
143	462	2750
144	465	2745
145	468	2741
146	471	2736
147	474	2731
148	477	2726
149	480	2722
150	483	2717
151	486	2712
152	488	2706
153	491	2701
154	495	2698
155	497	2693
156	500	2689
157	503	2684
158	506	2679
159	510	2679
160	513	2678
161	516	2673
162	519	2669
163	523	2667
164	526	2662
165	530	2664
166	533	2662
167	537	2661
168	540	2659
169	544	2656
170	548	2657
171	552	2657
172	555	2657
173	560	2659
174	564	2659
175	568	2662
176	574	2669
177	578	2671
178	581	2667
179	584	2663
180	587	2659
181	591	2657
182	595	2656
183	598	2652
184	601	2648
185	604	2644
186	607	2640
187	610	2637
188	614	2635
189	617	2633
190	621	2631
191	625	2632
192	629	2632
193	633	2630
194	636	2628
195	640	2627
196	644	2626
197	647	2623
198	651	2621
199	656	2624
200	659	2623
201	664	2623
202	667	2620
203	671	2621
204	675	2618
205	678	2615
206	686	2628
207	690	2630
208	694	2628
209	697	2624
210	701	2622
211	705	2622
212	708	2619
213	712	2617
214	715	2614
215	719	2611
216	722	2607
217	726	2605
218	730	2603
219	733	2600
220	736	2596
221	740	2596
222	744	2594
223	747	2590
224	751	2587
225	754	2584
226	758	2581
227	761	2577
228	764	2574
229	767	2570
230	771	2567
231	774	2563
232	777	2558
233	780	2554
234	783	2551
235	787	2547
236	790	2543
237	793	2539
238	796	2536
239	800	2534
240	803	2530
241	806	2526
242	809	2523
243	813	2520
244	816	2517
245	819	2513
246	822	2508
247	826	2505
248	829	2501
249	832	2497
250	835	2494
251	839	2490
252	843	2489
253	846	2486
254	850	2483
255	853	2480
256	857	2479
257	862	2479
258	865	2476
259	868	2472
260	872	2470
261	875	2467
262	880	2467
263	883	2464
264	887	2461
265	890	2457
266	893	2452
267	896	2448
268	899	2444
269	902	2441
270	906	2437
271	909	2433
272	912	2429
273	915	2425
274	918	2421
275	921	2416
276	924	2412
277	928	2410
278	931	2406
279	934	2403
280	938	2400
281	941	2397
282	944	2393
283	947	2389
284	950	2385
285	953	2380
286	957	2377
287	960	2374
288	963	2370
289	966	2365
290	969	2361
291	972	2358
292	975	2354
293	979	2350
294	982	2347
295	985	2344
296	988	2340
297	992	2337
298	995	2333
299	998	2329
300	1001	2325
301	1004	2321
302	1007	2317
303	1010	2312
304	1013	2308
305	1016	2304
306	1018	2299
307	1021	2295
308	1024	2291
309	1027	2287
310	1030	2282
311	1033	2279
312	1036	2274
313	1039	2270
314	1042	2266
315	1044	2261
316	1048	2258
317	1050	2253
318	1053	2249
319	1056	2245
320	1059	2240
321	1062	2237
322	1065	2233
323	1068	2228
324	1071	2224
325	1073	2220
326	1076	2216
327	1079	2212
328	1082	2208
329	1085	2204
330	1088	2200
331	1091	2196
332	1094	2192
333	1097	2189
334	1100	2185
335	1103	2181
336	1106	2176
337	1109	2172
338	1112	2168
339	1114	2164
340	1117	2160
341	1120	2155
342	1123	2152
343	1126	2147
344	1129	2143
345	1131	2139
346	1134	2135
347	1137	2131
348	1140	2127
349	1143	2123
350	1146	2119
